No.,Date,Spec1,Spec2,Spec3,Spec4,Spec5,Spec6,Spec7,Spec8,WL,Prep,Temp,DO,BOD,TN,TP,Chl-a
2,2016-04-04 0:00,92,12,4,192,0,820,0,0,7.51,0.9,15.7,13.6,7.1,5.853,0.08,82.1
3,2016-07-05 0:00,187.154,11.946,0,3.982,0,0,3.982,0,7.76,28.7,23.1,6.7,3.4,2.79,0.176,2.3
4,2016-09-26 0:00,218.82,54.705,23.445,3.9075,0,601.755,0,0,7.52,1.2,23.5,9.4,4.6,3.991,0.158,72.2
5,2017-01-02 0:00,9.471,0,0,0,0,0,0,0,7.49,0,6.2,11.1,3.3,5.9,0.142,26.4
6,2017-04-03 0:00,46.566,7.761,0,54.327,0,4703.166,0,0,7.5,0,13.5,15.4,7.6,8.061,0.115,60.3
7,2017-07-03 0:00,1227.723,183.141,264.537,27.132,47.481,6.783,0,0,7.54,14.4,26.2,3.2,4.5,5.885,0.26,27
8,2017-09-25 0:00,578.06,107.354,16.516,0,4.129,516.125,0,4.129,7.56,0,24,9.5,3.4,3.461,0.035,31
9,2018-01-02 0:00,0,0,0,0,0,2.534,0,0,6.03,0,6.9,13.8,5.8,8.828,0.099,24.9
10,2018-04-02 0:00,3.143,0,3.143,0,0,75.432,3.143,0,3.49,0,17.6,6.7,6.3,8.101,0.229,54.5
11,2018-07-02 0:00,0,0,0,0,2.7825,0,0,13.9125,4,36.3,23.7,5.8,6,3.14,0.377,5.2
12,2018-09-27 0:00,3.076,0,3.076,0,0,6.152,24.608,6.152,2.69,0,22.3,10,6.4,5.748,0.11,41.4
13,2018-12-24 0:00,5.901,0,0,0,0,5.901,0,0,6,0,8.9,11.1,3.7,6.647,0.099,51.3
14,2019-01-07 0:00,0,0,0,0,0,3.36,0,0,6.01,0,6,12.5,5.4,9.091,0.165,31.4
15,2019-03-18 0:00,53.57,0,0,0,0,12.175,0,0,5.95,0,12.1,12.1,6.9,8.278,0.26,80.5
16,2019-07-02 0:00,0,0,9.375,0,0,0,6.25,0,5.56,0.1,24.3,3.8,4.8,4.91,0.217,8.3
17,2019-09-30 0:00,2.19,0,0,0,0,6.57,0,0,5.67,0.1,25,8.7,4.1,3.606,0.093,47.8
